Name,State,CDP?,Jurisdiction,Policy type 1 (structural coding),Status 1,Project development type (if relevant) 1,Year pased / proposed 1,Mentions EJ principles?,Notes 1,Documents Reviewed
Arvada (CO),Colorado,yes,City,Denials/moratoriums,Approved,Greenfield,2021,No,"Has def'n for ""heavy logistics center""",Media; Zoning code
Atlanta (GA),Georgia,yes,City,Proactive planning,Proposed (pending or denied),,2024,Yes,Northwest freight study; includes considerations for ecommerce on p. 33,Government website/report; Proposed zoning/policy text
Beaumont (CA),California,yes,City,Denials/moratoriums,Approved,Flex / mixed-use,2022,No,,Media
Bloomingdale (GA),Georgia,yes,City,Denials/moratoriums,Approved,Rezone,2022,No,,Media; Media; Advocacy website/report
Bloomington (CA),California,yes,County,Denials/moratoriums,Approved,Eminent domain,2024,Yes,developer required to redo EIR and draft CBA,Developer website/report; Advocacy website/report; Site EIR; Site Plan
California,California,other,State,Development standards,Approved,,2024,Yes,AB-98,Ordinance/policy text
California,California,other,State,Development standards,Model ordinance / guidelines,,2022,Yes,Warehouse Best Practices,Model ordinance/best practice
Carpentersville (IL),Illinois,yes,City,Denials/moratoriums,Approved,Greenfield,2023,No,here; council rejected after a request for more information and traffic studies,Media; Media 
Carson (CA),California,yes,City,Proactive planning,Approved,,2023,Yes,Restricts W&D to flex districts; includes development standards and truck route/parking provision,Long-term plan; CBA/developer agreement; Proposed zoning/policy text
Chicago (IL),Illinois,yes,City,Conditional permitting requirements,Approved,,2021,Yes,Air Quality Ordinance; EJ groups says it doesnt go far enough,Ordinance/policy text; Advocacy website/report; Developer website/report
Chicago (IL),Illinois,yes,City,Denials/moratoriums,Proposed (pending or denied),Other,2023,Yes,Lots of activity here -- from Little Village to Humboldt (with W&D often opening despite community litigation),Advocacy website/report; Media
Chicago (IL),Illinois,yes,City,Proactive planning,Model ordinance / guidelines,,2019,Yes,DRAFT: Little Village Framework ,Long-term plan
Colton (CA),California,yes,City,Development standards,Approved,,2021,Yes,,Ordinance/policy text; Media
Commerce City (CO),Colorado,yes,City,Denials/moratoriums,Proposed (pending or denied),Rezone,2024,No,only 14 community members showed up to oppose rezoning,Media; Zoning code; 
Cornwall Burough (PA),Pensylvannia,yes,City,Land use definition,Proposed (pending or denied),,2024,No,Bans warehousing from one zone and moves it to another one that is near highways. Cant seem to find the amendment in text so it's hard to reach any conclusions,Media
Dallas (TX),Texas,yes,City,Denials/moratoriums,Approved,Greenfield,2020,No,,Media
Dallas (TX),Texas,yes,City,Denials/moratoriums,Approved,Greenfield,2024,Yes,developer withdrew after litigation from predominately Black church congregation,Media; Media; Media; Court text; Developer website/report
Dallas (TX),Texas,yes,City,Proactive planning,Approved,,2024,Yes,"EJ + industrial placetypes in ""ForwardDallas""",Long-term plan
Deerfield (IL),Illinois,yes,City,Land use definition,Approved,,2023,No,Ban through rezoning; require some CUP,Developer website/report; Council agenda/transcript
Detroit (MI),Michigan,yes,City,Denials/moratoriums,Proposed (pending or denied),Brownfield,2023,Yes,Project is not in SW Detroit where ordinance was proposed.,Advocacy website/report; Advocacy website/report; Advocacy website/report; Media; Government website/report; Government website/report; Ordinance/policy text 
Dorchester County (SC),South Carolina,other,County,Denials/moratoriums,Proposed (pending or denied),Rezone,2021,No,here; historically black town Ridgeville; rezone AG --> Industry,Advocacy website/report
Easton (PA),Pensylvannia,yes,City,Denials/moratoriums,Proposed (pending or denied),Brownfield,2024,Yes,here and here,Media; Media
Eugene (OR),Oregon,yes,City,Land use definition,Proposed (pending or denied),,2023,Yes,"""public health overlay zone"" -- includes bans, CUP and dev standard provisions",Advocacy website/report; Council agenda/transcript; Government website/report; Zoning code 
Fontana (CA),California,yes,City,Development standards,Approved,,2022,Yes,,Ordinance/policy text
Franklin (NJ),New Jersey,yes,City,Conditional permitting requirements,Approved,,2022,No,"here; includes CUPs and rezonings, and prohbits dev w/in 500 ft of residential",Ordinance/policy text
Ft Worth (TX),Texas,yes,City,Denials/moratoriums,Approved,Rezone,2024,No,Developer calls the block illegal; pusing to develop anyway,Media; Court text
Garden City (GA),Georgia,yes,City,Denials/moratoriums,Approved,Rezone,2022,No,,
Hanover County (VA),Virginia,other,County,Other,Proposed (pending or denied),Greenfield,2019,No,here; county sued by black homeowners that allowing DC violated zoning and wetlands regs; they lost and are currently appealing,Government website/report
Hartford County (MD),Maryland,other,County,Development standards,Approved,,2023,No,,Ordinance/policy text
Highlands Region (NJ),New Jersey,other,County,Land use definition,Approved,,2023,No,Created protected wetland area / drinking wate; full policy is here,Media; Ordinance/policy text
Hillsborough (NJ),New Jersey,yes,City,Land use definition,Approved,,2023,No,ban through code amendment (not discretionary permit),Ordinance/policy text; Zoning code; Media
Windsor (CT),Connecticut,no,City,Conditional permitting requirements,Approved,,2022,No,,
Cromwell (CT),Connecticut,no,City,Denials/moratoriums,Approved,Greenfield,2022,No,"Rejected on wetlands oermot; lot's of monster names. residents in this town called it ""Project Donkey Kong""",
Newtown(CT),Connecticut,no,City,Denials/moratoriums,Approved,Greenfield,2022,No,,
Norwalk (CT),Connecticut,no,City,Denials/moratoriums,Approved,Greenfield,2022,No,Wetland permit denied,
South Windsor (CT),Connecticut,no,City,Denials/moratoriums,Approved,Greenfield,2013,No,1-year moratorium; currently a push to revist moratorium,
Willington (CT),Connecticut,no,City,Denials/moratoriums,Approved,Greenfield,2022,No,"The project that opponents dubbed a ”gargantuan Godzilla” had targeted 160 acres of hillside woodlands for a TradeCenter 84, a mammoth warehouse with 228 loading bays and parking for 700 trailers and 500 cars.",
Illinois (IL),Illinois,other,State,Conditional permitting requirements,Proposed (pending or denied),,2023,Yes,HB5013: Warehouse Pollution Insights Act,Ordinance/policy text; Advocacy website/report
Ithaca (NY),New York,yes,City,Land use definition,Proposed (pending or denied),,2023,No,https://ithacavoice.org/2023/01/ithaca-town-seeks-quaint-little-businesses-in-route-13-corridor-rezone/,Media
Jefferson County (CO),Colorado,other,County,Denials/moratoriums,Proposed (pending or denied),Flex / mixed-use,2023,No,,Media; Media; Developer website/report
